time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,24,8,0,0
2026-06-02 00:00:00+00:00,15,4,0,0
2026-06-03 00:00:00+00:00,28,9,0,0
2026-06-04 00:00:00+00:00,26,7,0,0
2026-06-05 00:00:00+00:00,9,3,0,0
2026-06-06 00:00:00+00:00,21,6,0,0
2026-06-07 00:00:00+00:00,23,8,0,0
2026-06-08 00:00:00+00:00,22,7,0,0
2026-06-09 00:00:00+00:00,30,10,0,0
2026-06-10 00:00:00+00:00,28,12,0,0
2026-06-11 00:00:00+00:00,25,9,0,0
2026-06-12 00:00:00+00:00,22,7,0,0
2026-06-13 00:00:00+00:00,27,9,0,0
2026-06-14 00:00:00+00:00,27,7,0,0
