time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-02 00:00:00+00:00,14,10,1,1
2025-04-03 00:00:00+00:00,2,1,0,0
2025-04-04 00:00:00+00:00,21,16,0,0
2025-04-05 00:00:00+00:00,6,3,0,0
2025-04-06 00:00:00+00:00,9,5,0,0
2025-04-07 00:00:00+00:00,39,14,22,1
2025-04-08 00:00:00+00:00,4,3,0,0
2025-04-09 00:00:00+00:00,5,3,0,0
2025-04-10 00:00:00+00:00,6,4,0,0
2025-04-11 00:00:00+00:00,24,15,1,1
2025-04-12 00:00:00+00:00,48,11,0,0
2025-04-13 00:00:00+00:00,17,9,1,1
2025-04-14 00:00:00+00:00,27,15,0,0
2025-04-15 00:00:00+00:00,68,22,2,1
2025-04-16 00:00:00+00:00,3,3,0,0
2025-04-17 00:00:00+00:00,5,2,0,0
2025-04-18 00:00:00+00:00,13,3,0,0
2025-04-19 00:00:00+00:00,8,5,0,0
2025-04-20 00:00:00+00:00,4,2,0,0
2025-04-21 00:00:00+00:00,3,2,0,0
2025-04-22 00:00:00+00:00,2,2,0,0
2025-04-23 00:00:00+00:00,5,2,0,0
2025-04-24 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,5,2,0,0
2025-04-26 00:00:00+00:00,4,2,0,0
2025-04-27 00:00:00+00:00,5,3,0,0
2025-04-28 00:00:00+00:00,2,2,0,0
2025-04-29 00:00:00+00:00,1,1,0,0
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-01 00:00:00+00:00,5,2,0,0
2025-05-02 00:00:00+00:00,5,2,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-04 00:00:00+00:00,3,2,0,0
2025-05-05 00:00:00+00:00,4,2,0,0
2025-05-06 00:00:00+00:00,16,8,0,0
2025-05-07 00:00:00+00:00,3,2,0,0
2025-05-08 00:00:00+00:00,1,1,0,0
2025-05-09 00:00:00+00:00,7,3,0,0
2025-05-10 00:00:00+00:00,5,3,0,0
2025-05-11 00:00:00+00:00,5,2,0,0
2025-05-12 00:00:00+00:00,5,2,0,0
2025-05-13 00:00:00+00:00,1,1,0,0
2025-05-14 00:00:00+00:00,5,2,0,0
2025-05-15 00:00:00+00:00,3,2,0,0
2025-05-16 00:00:00+00:00,1,1,0,0
2025-05-17 00:00:00+00:00,2,2,0,0
2025-05-18 00:00:00+00:00,1,1,0,0
2025-05-19 00:00:00+00:00,5,2,0,0
2025-05-20 00:00:00+00:00,4,2,0,0
2025-05-21 00:00:00+00:00,5,2,0,0
2025-05-22 00:00:00+00:00,4,2,0,0
2025-05-23 00:00:00+00:00,6,3,0,0
2025-05-24 00:00:00+00:00,6,3,0,0
2025-05-25 00:00:00+00:00,1,1,0,0
2025-05-26 00:00:00+00:00,2,2,0,0
2025-05-27 00:00:00+00:00,4,2,0,0
2025-05-28 00:00:00+00:00,1,1,0,0
2025-05-29 00:00:00+00:00,1,1,0,0
2025-05-30 00:00:00+00:00,1,1,0,0
2025-05-31 00:00:00+00:00,4,3,0,0
2025-06-01 00:00:00+00:00,1,1,0,0
2025-06-02 00:00:00+00:00,1,1,0,0
2025-06-03 00:00:00+00:00,5,2,0,0
2025-06-04 00:00:00+00:00,5,2,0,0
2025-06-05 00:00:00+00:00,1,1,0,0
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-07 00:00:00+00:00,6,4,0,0
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,1,1,0,0
2025-06-10 00:00:00+00:00,3,2,0,0
2025-06-11 00:00:00+00:00,1,1,0,0
2025-06-12 00:00:00+00:00,3,3,0,0
2025-06-13 00:00:00+00:00,4,4,0,0
2025-06-14 00:00:00+00:00,3,3,0,0
2025-06-15 00:00:00+00:00,4,3,0,0
2025-06-16 00:00:00+00:00,6,6,0,0
2025-06-17 00:00:00+00:00,3,3,0,0
2025-06-18 00:00:00+00:00,5,5,0,0
